epoch = 1...
...
...
epoch = 1271, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1272, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1273, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1274, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1275, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1276, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1277, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1278, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1279, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1280, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1281, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1282, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1283, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1284, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1285, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1286, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1287, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1288, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1289, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1290, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1291, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1292, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1293, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1294, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1295, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1296, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1297, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1298, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1299, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1300, mse = 0.006, Percentage = 73/75 = 97.33%
